"lb","ln","profit","deals"
-11.6,-10,"0.00",0
-11.6,-9.8,"0.00",0
-11.6,-9.6,"0.00",0
-11.6,-9.4,"0.00",0
-11.6,-9.2,"0.00",0
-11.6,-9,"0.00",0
-11.6,-8.8,"0.00",0
-11.6,-8.6,"0.00",0
-11.6,-8.4,"0.00",0
-11.6,-8.2,"0.00",0
-11.6,-8,"0.00",0
-11.6,-7.8,"0.00",0
-11.6,-7.6,"0.00",0
-11.6,-7.4,"0.00",0
-11.6,-7.2,"0.00",0
-11.6,-7,"0.00",0
-11.6,-6.8,"0.00",0
-11.6,-6.6,"0.00",0
-11.6,-6.4,"0.00",0
-11.6,-6.2,"0.00",0
-11.6,-6,"0.00",0
-11.6,-5.8,"0.00",0
-11.6,-5.6,"0.00",0
-11.6,-5.4,"0.00",0
-11.6,-5.2,"0.00",0
-11.6,-5,"0.00",0
-11.6,-4.8,"0.00",0
-11.6,-4.6,"0.00",0
-11.6,-4.4,"0.00",0
-11.6,-4.2,"0.00",0
-11.6,-4,"0.00",0
-11.6,-3.8,"0.00",0
-11.6,-3.6,"0.00",0
-11.6,-3.4,"0.00",0
-11.6,-3.2,"0.00",0
-11.6,-3,"0.00",0
-11.6,-2.8,"0.00",0
-11.6,-2.6,"0.00",0
-11.6,-2.4,"0.00",0
-11.6,-2.2,"0.00",0
-11.6,-2,"0.00",0
-11.6,-1.8,"0.00",0
-11.6,-1.6,"0.00",0
-11.4,-10.4,"1.16",1
-11.4,-10.2,"1.16",1
-11.4,-10,"1.16",1
-11.4,-9.8,"1.16",1
-11.4,-9.6,"1.16",1
-11.4,-9.4,"1.16",1
-11.4,-9.2,"1.16",1
-11.4,-9,"1.16",1
-11.4,-8.8,"1.16",1
-11.4,-8.6,"1.16",1
-11.4,-8.4,"1.16",1
-11.4,-8.2,"1.16",1
-11.4,-8,"1.16",1
-11.4,-7.8,"1.16",1
-11.4,-7.6,"1.16",1
-11.4,-7.4,"1.16",1
-11.4,-7.2,"1.16",1
-11.4,-7,"1.16",1
-11.4,-6.8,"1.16",1
-11.4,-6.6,"1.16",1
-11.4,-6.4,"1.16",1
-11.4,-6.2,"1.16",1
-11.4,-6,"1.16",1
-11.4,-5.8,"1.16",1
-11.4,-5.6,"1.16",1
-11.4,-5.4,"1.16",1
-11.4,-5.2,"1.85",1
-11.4,-5,"1.85",1
-11.4,-4.8,"1.85",1
-11.4,-4.6,"1.85",1
