"se","sc","scal","profit","deals"
0.2,0.15,1.9,"459.82",324
0.2,0.15,1.95,"459.82",324
0.2,0.15,2,"463.58",324
0.2,0.2,1.1,"649.45",324
0.2,0.2,1.15,"625.54",324
0.2,0.2,1.2,"625.54",324
0.2,0.2,1.25,"588.55",324
0.2,0.2,1.3,"588.55",324
0.2,0.2,1.35,"588.55",324
0.2,0.2,1.4,"583.53",324
0.2,0.2,1.45,"617.49",324
0.2,0.2,1.5,"617.49",324
0.2,0.2,1.55,"617.49",324
0.2,0.2,1.6,"617.49",324
0.2,0.2,1.65,"630.83",324
0.2,0.2,1.7,"630.83",324
0.2,0.2,1.75,"598.38",324
0.2,0.2,1.8,"598.38",324
0.2,0.2,1.85,"598.38",324
0.2,0.2,1.9,"598.38",324
0.2,0.2,1.95,"598.38",324
0.2,0.2,2,"602.53",324
0.2,0.25,1.1,"1300.48",324
0.2,0.25,1.15,"1230.29",324
0.2,0.25,1.2,"1230.29",324
0.2,0.25,1.25,"1129.36",324
0.2,0.25,1.3,"1129.36",324
0.2,0.25,1.35,"1129.36",324
0.2,0.25,1.4,"1119.15",324
0.2,0.25,1.45,"1251.74",324
0.2,0.25,1.5,"1251.74",324
0.2,0.25,1.55,"1251.74",324
0.2,0.25,1.6,"1251.74",324
0.2,0.25,1.65,"1283.29",324
0.2,0.25,1.7,"1283.29",324
0.2,0.25,1.75,"1187.44",324
0.2,0.25,1.8,"1187.44",324
0.2,0.25,1.85,"1187.44",324
0.2,0.25,1.9,"1187.44",324
0.2,0.25,1.95,"1187.44",324
0.2,0.25,2,"1183.70",324
0.2,0.3,1.1,"367.08",324
0.2,0.3,1.15,"319.95",324
0.2,0.3,1.2,"319.95",324
0.2,0.3,1.25,"430.06",324
0.2,0.3,1.3,"430.06",324
0.2,0.3,1.35,"430.06",324
0.2,0.3,1.4,"426.67",324
0.2,0.3,1.45,"588.66",324
0.2,0.3,1.5,"588.66",324
0.2,0.3,1.55,"588.66",324
0.2,0.3,1.6,"588.66",324
0.2,0.3,1.65,"608.03",324
0.2,0.3,1.7,"608.03",324
0.2,0.3,1.75,"503.26",324
0.2,0.3,1.8,"503.26",324
0.2,0.3,1.85,"503.26",324
0.2,0.3,1.9,"503.26",324
0.2,0.3,1.95,"503.26",324
0.2,0.3,2,"450.98",324
0.2,0.35,1.1,"20.61",324
0.2,0.35,1.15,"89.18",324
0.2,0.35,1.2,"89.18",324
0.2,0.35,1.25,"60.34",324
0.2,0.35,1.3,"60.34",324
0.2,0.35,1.35,"60.34",324
0.2,0.35,1.4,"54.97",324
0.2,0.35,1.45,"141.76",324
0.2,0.35,1.5,"141.76",324
0.2,0.35,1.55,"141.76",324
0.2,0.35,1.6,"141.76",324
0.2,0.35,1.65,"149.73",324
0.2,0.35,1.7,"149.73",324
0.2,0.35,1.75,"212.35",324
0.2,0.35,1.8,"212.35",324
0.2,0.35,1.85,"212.35",324
0.2,0.35,1.9,"212.35",324
0.2,0.35,1.95,"212.35",324
0.2,0.35,2,"95.12",324
0.2,0.4,1.1,"666.78",324
0.2,0.4,1.15,"702.11",324
0.2,0.4,1.2,"702.11",324
0.2,0.4,1.25,"683.26",324
0.2,0.4,1.3,"683.26",324
0.2,0.4,1.35,"683.26",324
0.2,0.4,1.4,"666.62",324
0.2,0.4,1.45,"337.28",324
0.2,0.4,1.5,"337.28",324
0.2,0.4,1.55,"337.28",324
0.2,0.4,1.6,"337.28",324
0.2,0.4,1.65,"353.84",324
