"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","scaling","cond_close","profit","deals"
1.5,-1.5,3,0.6,"50.84",193
1.5,-1.5,3,0.8,"46.20",127
1.5,-1.5,3,1,"45.67",97
1.5,-1.5,3,1.2,"42.62",73
1.5,-1.5,3,1.4,"48.32",63
1.5,-1.5,3,1.6,"42.20",50
1.5,-1.5,3,1.8,"33.17",35
1.5,-1.5,3,2,"28.08",28
1.5,-1.5,3,2.2,"20.49",22
1.5,-1.5,3,2.4,"21.55",19
1.5,-1.5,3,2.6,"19.65",15
1.5,-1.5,3,2.8,"20.25",15
1.5,-1.5,3,3,"20.37",15
1.8,-1.8,1,0.6,"51.60",152
1.8,-1.8,1,0.8,"48.61",111
1.8,-1.8,1,1,"38.75",75
1.8,-1.8,1,1.2,"39.53",62
1.8,-1.8,1,1.4,"33.82",45
1.8,-1.8,1,1.6,"25.76",30
1.8,-1.8,1,1.8,"23.34",27
1.8,-1.8,1,2,"20.77",23
1.8,-1.8,1,2.2,"21.80",25
1.8,-1.8,1,2.4,"20.17",20
1.8,-1.8,1,2.6,"15.02",14
1.8,-1.8,1,2.8,"14.34",10
1.8,-1.8,1,3,"15.56",10
1.8,-1.8,1.5,0.6,"45.31",160
1.8,-1.8,1.5,0.8,"48.95",116
1.8,-1.8,1.5,1,"42.47",82
1.8,-1.8,1.5,1.2,"38.93",65
1.8,-1.8,1.5,1.4,"36.86",49
1.8,-1.8,1.5,1.6,"28.02",34
1.8,-1.8,1.5,1.8,"26.94",31
1.8,-1.8,1.5,2,"19.04",23
1.8,-1.8,1.5,2.2,"16.50",18
1.8,-1.8,1.5,2.4,"17.85",21
1.8,-1.8,1.5,2.6,"15.05",12
1.8,-1.8,1.5,2.8,"15.00",12
1.8,-1.8,1.5,3,"15.85",10
1.8,-1.8,2,0.6,"57.13",188
1.8,-1.8,2,0.8,"60.55",133
1.8,-1.8,2,1,"50.29",93
1.8,-1.8,2,1.2,"37.06",67
1.8,-1.8,2,1.4,"37.70",54
1.8,-1.8,2,1.6,"26.45",34
1.8,-1.8,2,1.8,"23.04",27
1.8,-1.8,2,2,"23.08",26
1.8,-1.8,2,2.2,"20.77",24
1.8,-1.8,2,2.4,"21.44",20
1.8,-1.8,2,2.6,"16.22",13
1.8,-1.8,2,2.8,"18.10",14
1.8,-1.8,2,3,"18.72",14
1.8,-1.8,2.5,0.6,"48.03",180
1.8,-1.8,2.5,0.8,"43.98",119
1.8,-1.8,2.5,1,"36.44",81
1.8,-1.8,2.5,1.2,"46.28",75
1.8,-1.8,2.5,1.4,"44.05",61
1.8,-1.8,2.5,1.6,"34.49",40
1.8,-1.8,2.5,1.8,"31.11",34
1.8,-1.8,2.5,2,"22.21",26
1.8,-1.8,2.5,2.2,"24.02",27
1.8,-1.8,2.5,2.4,"20.61",20
1.8,-1.8,2.5,2.6,"18.12",14
1.8,-1.8,2.5,2.8,"19.81",15
1.8,-1.8,2.5,3,"20.00",13
1.8,-1.8,3,0.6,"47.97",187
1.8,-1.8,3,0.8,"46.85",131
1.8,-1.8,3,1,"42.44",99
1.8,-1.8,3,1.2,"42.74",74
1.8,-1.8,3,1.4,"41.86",61
1.8,-1.8,3,1.6,"41.36",50
1.8,-1.8,3,1.8,"28.88",33
1.8,-1.8,3,2,"26.65",28
1.8,-1.8,3,2.2,"19.26",23
1.8,-1.8,3,2.4,"21.69",22
1.8,-1.8,3,2.6,"19.03",16
1.8,-1.8,3,2.8,"17.39",14
1.8,-1.8,3,3,"19.90",15
2.1,-2.1,1,0.6,"47.76",151
2.1,-2.1,1,0.8,"50.79",114
2.1,-2.1,1,1,"44.63",83
2.1,-2.1,1,1.2,"38.05",57
2.1,-2.1,1,1.4,"37.30",46
2.1,-2.1,1,1.6,"30.19",34
2.1,-2.1,1,1.8,"22.03",27
2.1,-2.1,1,2,"18.34",23
2.1,-2.1,1,2.2,"18.21",21
2.1,-2.1,1,2.4,"18.34",16
2.1,-2.1,1,2.6,"18.65",15
2.1,-2.1,1,2.8,"18.89",13
2.1,-2.1,1,3,"18.05",12
2.1,-2.1,1.5,0.6,"46.07",168
2.1,-2.1,1.5,0.8,"61.79",130
2.1,-2.1,1.5,1,"45.71",85
2.1,-2.1,1.5,1.2,"39.19",64
2.1,-2.1,1.5,1.4,"37.59",49
2.1,-2.1,1.5,1.6,"33.32",37
2.1,-2.1,1.5,1.8,"29.63",32
2.1,-2.1,1.5,2,"20.37",25
2.1,-2.1,1.5,2.2,"19.16",22
2.1,-2.1,1.5,2.4,"17.17",17
2.1,-2.1,1.5,2.6,"13.78",11
2.1,-2.1,1.5,2.8,"14.20",11
2.1,-2.1,1.5,3,"14.56",10
2.1,-2.1,2,0.6,"54.74",181
2.1,-2.1,2,0.8,"57.03",136
2.1,-2.1,2,1,"45.28",88
2.1,-2.1,2,1.2,"36.29",63
2.1,-2.1,2,1.4,"37.64",51
2.1,-2.1,2,1.6,"35.17",40
2.1,-2.1,2,1.8,"25.29",31
2.1,-2.1,2,2,"21.35",25
2.1,-2.1,2,2.2,"22.13",24
2.1,-2.1,2,2.4,"25.93",22
2.1,-2.1,2,2.6,"20.22",21
2.1,-2.1,2,2.8,"17.79",13
2.1,-2.1,2,3,"16.58",12
2.1,-2.1,2.5,0.6,"53.05",190
2.1,-2.1,2.5,0.8,"42.87",119
2.1,-2.1,2.5,1,"45.23",92
2.1,-2.1,2.5,1.2,"45.95",73
2.1,-2.1,2.5,1.4,"43.67",59
2.1,-2.1,2.5,1.6,"35.96",43
2.1,-2.1,2.5,1.8,"29.06",33
2.1,-2.1,2.5,2,"22.29",26
2.1,-2.1,2.5,2.2,"23.23",25
2.1,-2.1,2.5,2.4,"22.84",22
2.1,-2.1,2.5,2.6,"19.53",15
2.1,-2.1,2.5,2.8,"19.59",14
2.1,-2.1,2.5,3,"20.71",14
2.1,-2.1,3,0.6,"46.04",185
2.1,-2.1,3,0.8,"47.81",134
2.1,-2.1,3,1,"38.48",87
2.1,-2.1,3,1.2,"42.91",73
2.1,-2.1,3,1.4,"43.55",61
2.1,-2.1,3,1.6,"32.57",40
2.1,-2.1,3,1.8,"30.20",35
2.1,-2.1,3,2,"25.92",30
2.1,-2.1,3,2.2,"21.22",24
2.1,-2.1,3,2.4,"21.91",22
2.1,-2.1,3,2.6,"20.39",16
2.1,-2.1,3,2.8,"20.92",19
2.1,-2.1,3,3,"22.23",17
2.4,-2.4,1,0.6,"48.83",151
2.4,-2.4,1,0.8,"44.62",109
2.4,-2.4,1,1,"44.12",82
2.4,-2.4,1,1.2,"43.47",63
2.4,-2.4,1,1.4,"39.05",48
2.4,-2.4,1,1.6,"34.31",36
2.4,-2.4,1,1.8,"19.84",26
2.4,-2.4,1,2,"18.54",22
2.4,-2.4,1,2.2,"16.20",19
2.4,-2.4,1,2.4,"15.93",17
2.4,-2.4,1,2.6,"15.93",14
2.4,-2.4,1,2.8,"12.01",9
2.4,-2.4,1,3,"12.72",9
2.4,-2.4,1.5,0.6,"46.90",165
2.4,-2.4,1.5,0.8,"49.69",124
2.4,-2.4,1.5,1,"41.87",81
2.4,-2.4,1.5,1.2,"40.03",63
2.4,-2.4,1.5,1.4,"38.15",51
2.4,-2.4,1.5,1.6,"33.64",38
2.4,-2.4,1.5,1.8,"27.91",32
2.4,-2.4,1.5,2,"21.56",25
2.4,-2.4,1.5,2.2,"18.24",20
2.4,-2.4,1.5,2.4,"15.76",17
2.4,-2.4,1.5,2.6,"16.49",15
2.4,-2.4,1.5,2.8,"13.19",10
2.4,-2.4,1.5,3,"14.81",10
2.4,-2.4,2,0.6,"53.53",181
2.4,-2.4,2,0.8,"44.46",125
2.4,-2.4,2,1,"49.54",93
2.4,-2.4,2,1.2,"34.75",60
2.4,-2.4,2,1.4,"36.14",49
2.4,-2.4,2,1.6,"37.42",43
2.4,-2.4,2,1.8,"26.10",32
2.4,-2.4,2,2,"23.62",26
2.4,-2.4,2,2.2,"22.12",23
2.4,-2.4,2,2.4,"25.48",23
2.4,-2.4,2,2.6,"18.29",16
2.4,-2.4,2,2.8,"16.28",11
2.4,-2.4,2,3,"16.86",11
2.4,-2.4,2.5,0.6,"56.08",202
2.4,-2.4,2.5,0.8,"49.48",136
2.4,-2.4,2.5,1,"48.76",98
2.4,-2.4,2.5,1.2,"48.90",77
2.4,-2.4,2.5,1.4,"41.40",55
2.4,-2.4,2.5,1.6,"33.90",41
2.4,-2.4,2.5,1.8,"29.51",33
2.4,-2.4,2.5,2,"22.31",26
2.4,-2.4,2.5,2.2,"24.34",25
2.4,-2.4,2.5,2.4,"22.27",21
2.4,-2.4,2.5,2.6,"22.65",21
2.4,-2.4,2.5,2.8,"15.50",11
2.4,-2.4,2.5,3,"16.47",11
2.4,-2.4,3,0.6,"47.98",193
2.4,-2.4,3,0.8,"47.96",138
2.4,-2.4,3,1,"43.40",97
2.4,-2.4,3,1.2,"43.31",75
2.4,-2.4,3,1.4,"40.43",58
2.4,-2.4,3,1.6,"33.95",45
2.4,-2.4,3,1.8,"25.32",32
2.4,-2.4,3,2,"21.87",27
2.4,-2.4,3,2.2,"20.53",23
2.4,-2.4,3,2.4,"21.07",22
2.4,-2.4,3,2.6,"19.79",18
2.4,-2.4,3,2.8,"18.02",13
2.4,-2.4,3,3,"18.80",13
2.7,-2.7,1,0.6,"44.31",146
2.7,-2.7,1,0.8,"41.06",105
2.7,-2.7,1,1,"44.55",82
2.7,-2.7,1,1.2,"41.44",62
2.7,-2.7,1,1.4,"38.51",50
2.7,-2.7,1,1.6,"32.64",35
2.7,-2.7,1,1.8,"24.42",28
2.7,-2.7,1,2,"18.29",22
2.7,-2.7,1,2.2,"18.38",20
2.7,-2.7,1,2.4,"16.34",16
2.7,-2.7,1,2.6,"15.54",13
2.7,-2.7,1,2.8,"12.61",8
2.7,-2.7,1,3,"13.26",8
2.7,-2.7,1.5,0.6,"40.68",151
2.7,-2.7,1.5,0.8,"44.43",117
2.7,-2.7,1.5,1,"55.71",98
2.7,-2.7,1.5,1.2,"44.73",65
2.7,-2.7,1.5,1.4,"34.68",47
2.7,-2.7,1.5,1.6,"34.48",39
2.7,-2.7,1.5,1.8,"27.81",30
2.7,-2.7,1.5,2,"23.41",25
2.7,-2.7,1.5,2.2,"17.36",20
2.7,-2.7,1.5,2.4,"16.18",17
2.7,-2.7,1.5,2.6,"17.12",14
2.7,-2.7,1.5,2.8,"14.03",9
2.7,-2.7,1.5,3,"14.02",9
2.7,-2.7,2,0.6,"56.49",188
2.7,-2.7,2,0.8,"57.27",138
2.7,-2.7,2,1,"51.69",99
2.7,-2.7,2,1.2,"46.76",71
2.7,-2.7,2,1.4,"38.59",51
2.7,-2.7,2,1.6,"37.89",42
2.7,-2.7,2,1.8,"33.24",36
2.7,-2.7,2,2,"26.75",26
2.7,-2.7,2,2.2,"23.15",21
2.7,-2.7,2,2.4,"23.09",20
2.7,-2.7,2,2.6,"23.49",21
2.7,-2.7,2,2.8,"17.52",11
2.7,-2.7,2,3,"16.25",10
2.7,-2.7,2.5,0.6,"49.44",184
2.7,-2.7,2.5,0.8,"49.50",139
2.7,-2.7,2.5,1,"49.77",106
2.7,-2.7,2.5,1.2,"44.83",76
2.7,-2.7,2.5,1.4,"45.34",61
2.7,-2.7,2.5,1.6,"32.31",39
2.7,-2.7,2.5,1.8,"34.88",39
2.7,-2.7,2.5,2,"29.73",29
2.7,-2.7,2.5,2.2,"23.70",23
2.7,-2.7,2.5,2.4,"21.96",20
2.7,-2.7,2.5,2.6,"24.72",22
2.7,-2.7,2.5,2.8,"16.82",11
2.7,-2.7,2.5,3,"17.20",11
2.7,-2.7,3,0.6,"39.20",175
2.7,-2.7,3,0.8,"48.11",140
2.7,-2.7,3,1,"41.84",101
2.7,-2.7,3,1.2,"40.64",75
2.7,-2.7,3,1.4,"41.36",59
2.7,-2.7,3,1.6,"34.89",45
2.7,-2.7,3,1.8,"27.63",35
2.7,-2.7,3,2,"22.90",26
2.7,-2.7,3,2.2,"20.97",22
2.7,-2.7,3,2.4,"19.65",19
2.7,-2.7,3,2.6,"19.80",17
2.7,-2.7,3,2.8,"19.93",13
2.7,-2.7,3,3,"19.31",12
3,-3,1,0.6,"44.70",130
3,-3,1,0.8,"40.72",92
3,-3,1,1,"41.95",72
3,-3,1,1.2,"39.65",56
3,-3,1,1.4,"36.77",44
3,-3,1,1.6,"36.34",39
3,-3,1,1.8,"25.43",28
