"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","cond_close","profit","deals"
1.7,-1.3,0.7,"63.18",151
1.7,-1.3,0.8,"51.74",124
1.7,-1.4,0.4,"47.77",252
1.7,-1.4,0.5,"49.08",206
1.7,-1.4,0.6,"62.20",188
1.7,-1.4,0.7,"63.16",152
1.7,-1.4,0.8,"51.45",124
1.7,-1.5,0.4,"47.34",249
1.7,-1.5,0.5,"65.64",229
1.7,-1.5,0.6,"68.61",194
1.7,-1.5,0.7,"64.00",153
1.7,-1.5,0.8,"46.86",118
1.7,-1.6,0.4,"46.90",247
1.7,-1.6,0.5,"51.34",213
1.7,-1.6,0.6,"50.92",170
1.7,-1.6,0.7,"63.55",150
1.7,-1.6,0.8,"51.61",124
1.7,-1.7,0.4,"50.20",252
1.7,-1.7,0.5,"48.10",205
1.7,-1.7,0.6,"49.76",170
1.7,-1.7,0.7,"63.12",148
1.7,-1.7,0.8,"51.60",124
1.7,-1.8,0.4,"47.51",246
1.7,-1.8,0.5,"46.10",198
1.7,-1.8,0.6,"49.20",167
1.7,-1.8,0.7,"62.69",148
1.7,-1.8,0.8,"50.83",122
1.7,-1.9,0.4,"59.32",267
1.7,-1.9,0.5,"47.23",205
1.7,-1.9,0.6,"47.68",166
1.7,-1.9,0.7,"60.91",147
1.7,-1.9,0.8,"45.77",113
1.7,-2,0.4,"58.39",263
1.7,-2,0.5,"47.40",209
1.7,-2,0.6,"48.41",169
1.7,-2,0.7,"50.13",142
1.7,-2,0.8,"49.76",118
1.8,-1,0.4,"51.51",254
1.8,-1,0.5,"65.62",227
1.8,-1,0.6,"64.73",192
1.8,-1,0.7,"57.50",152
1.8,-1,0.8,"57.79",131
1.8,-1.1,0.4,"50.33",254
1.8,-1.1,0.5,"50.46",207
1.8,-1.1,0.6,"65.18",191
1.8,-1.1,0.7,"54.87",145
1.8,-1.1,0.8,"55.09",127
1.8,-1.2,0.4,"48.75",254
1.8,-1.2,0.5,"48.11",203
1.8,-1.2,0.6,"65.35",191
1.8,-1.2,0.7,"53.66",145
1.8,-1.2,0.8,"57.75",131
1.8,-1.3,0.4,"47.23",244
1.8,-1.3,0.5,"64.53",222
1.8,-1.3,0.6,"67.75",190
1.8,-1.3,0.7,"62.90",152
1.8,-1.3,0.8,"54.69",125
1.8,-1.4,0.4,"47.36",243
1.8,-1.4,0.5,"47.10",200
1.8,-1.4,0.6,"60.19",185
1.8,-1.4,0.7,"63.34",153
1.8,-1.4,0.8,"54.74",125
1.8,-1.5,0.4,"47.22",244
1.8,-1.5,0.5,"48.19",202
1.8,-1.5,0.6,"66.96",192
1.8,-1.5,0.7,"51.41",141
1.8,-1.5,0.8,"49.93",119
1.8,-1.6,0.4,"47.36",243
1.8,-1.6,0.5,"47.79",203
1.8,-1.6,0.6,"49.49",168
1.8,-1.6,0.7,"50.74",139
1.8,-1.6,0.8,"54.60",125
1.8,-1.7,0.4,"48.36",247
1.8,-1.7,0.5,"47.24",199
1.8,-1.7,0.6,"48.82",164
1.8,-1.7,0.7,"62.96",149
1.8,-1.7,0.8,"54.54",125
1.8,-1.8,0.4,"46.17",243
1.8,-1.8,0.5,"46.17",195
1.8,-1.8,0.6,"45.31",160
1.8,-1.8,0.7,"62.80",149
1.8,-1.8,0.8,"48.95",116
1.8,-1.9,0.4,"58.54",262
1.8,-1.9,0.5,"46.66",199
1.8,-1.9,0.6,"45.60",162
1.8,-1.9,0.7,"60.70",148
1.8,-1.9,0.8,"65.06",131
1.8,-2,0.4,"58.07",260
1.8,-2,0.5,"47.10",203
1.8,-2,0.6,"44.89",162
1.8,-2,0.7,"49.59",139
1.8,-2,0.8,"64.62",130
1.9,-1,0.4,"50.67",258
1.9,-1,0.5,"66.46",224
1.9,-1,0.6,"64.41",190
1.9,-1,0.7,"54.50",147
1.9,-1,0.8,"58.52",133
1.9,-1.1,0.4,"50.94",260
1.9,-1.1,0.5,"65.61",221
1.9,-1.1,0.6,"65.54",191
1.9,-1.1,0.7,"56.31",150
1.9,-1.1,0.8,"57.76",131
1.9,-1.2,0.4,"49.21",261
1.9,-1.2,0.5,"49.46",201
1.9,-1.2,0.6,"63.00",188
1.9,-1.2,0.7,"55.84",150
1.9,-1.2,0.8,"58.43",133
1.9,-1.3,0.4,"47.38",249
1.9,-1.3,0.5,"64.33",219
1.9,-1.3,0.6,"68.54",192
1.9,-1.3,0.7,"64.88",154
1.9,-1.3,0.8,"55.42",127
1.9,-1.4,0.4,"47.25",249
1.9,-1.4,0.5,"63.35",216
1.9,-1.4,0.6,"61.89",189
1.9,-1.4,0.7,"65.53",155
1.9,-1.4,0.8,"55.15",126
1.9,-1.5,0.4,"47.24",249
1.9,-1.5,0.5,"47.69",198
1.9,-1.5,0.6,"67.64",193
1.9,-1.5,0.7,"63.66",157
1.9,-1.5,0.8,"54.58",126
1.9,-1.6,0.4,"47.73",250
1.9,-1.6,0.5,"47.37",199
1.9,-1.6,0.6,"49.54",170
1.9,-1.6,0.7,"63.00",154
1.9,-1.6,0.8,"55.14",126
1.9,-1.7,0.4,"48.34",253
1.9,-1.7,0.5,"46.66",195
1.9,-1.7,0.6,"48.56",167
1.9,-1.7,0.7,"51.49",141
1.9,-1.7,0.8,"55.09",126
1.9,-1.8,0.4,"47.41",250
1.9,-1.8,0.5,"46.52",193
1.9,-1.8,0.6,"47.64",166
1.9,-1.8,0.7,"60.78",148
1.9,-1.8,0.8,"49.75",117
1.9,-1.9,0.4,"59.25",268
1.9,-1.9,0.5,"46.55",196
1.9,-1.9,0.6,"45.12",163
1.9,-1.9,0.7,"63.39",153
1.9,-1.9,0.8,"64.89",132
1.9,-2,0.4,"58.70",266
1.9,-2,0.5,"46.62",201
1.9,-2,0.6,"46.84",167
1.9,-2,0.7,"50.48",144
1.9,-2,0.8,"64.41",131
2,-1,0.4,"49.75",259
2,-1,0.5,"64.76",220
2,-1,0.6,"66.96",196
2,-1,0.7,"53.93",145
2,-1,0.8,"50.97",124
2,-1.1,0.4,"48.64",258
2,-1.1,0.5,"64.74",218
2,-1.1,0.6,"61.83",187
2,-1.1,0.7,"53.54",143
2,-1.1,0.8,"52.98",126
2,-1.2,0.4,"48.69",259
2,-1.2,0.5,"47.07",196
2,-1.2,0.6,"62.77",188
2,-1.2,0.7,"54.24",146
2,-1.2,0.8,"54.87",130
2,-1.3,0.4,"46.59",249
2,-1.3,0.5,"63.39",213
2,-1.3,0.6,"64.27",190
2,-1.3,0.7,"62.70",154
2,-1.3,0.8,"48.64",120
2,-1.4,0.4,"46.96",250
2,-1.4,0.5,"62.95",212
2,-1.4,0.6,"62.93",190
2,-1.4,0.7,"63.19",155
2,-1.4,0.8,"52.95",125
2,-1.5,0.4,"46.98",251
2,-1.5,0.5,"45.69",194
2,-1.5,0.6,"66.78",193
2,-1.5,0.7,"51.91",141
2,-1.5,0.8,"53.27",125
2,-1.6,0.4,"47.41",252
2,-1.6,0.5,"45.55",195
2,-1.6,0.6,"61.40",186
2,-1.6,0.7,"62.90",153
2,-1.6,0.8,"53.65",125
2,-1.7,0.4,"47.34",249
2,-1.7,0.5,"44.92",190
2,-1.7,0.6,"48.26",168
2,-1.7,0.7,"63.33",151
2,-1.7,0.8,"59.15",129
2,-1.8,0.4,"46.63",251
2,-1.8,0.5,"45.02",191
2,-1.8,0.6,"45.84",166
2,-1.8,0.7,"62.54",151
2,-1.8,0.8,"52.66",122
