"cond_open","cond_close","step_entry","profit","deals"
-0.9,0.4,0.15,"151.11",432
-0.9,0.4,0.2,"214.26",430
-0.9,0.4,0.25,"282.39",426
-0.9,0.4,0.3,"357.17",419
-0.9,0.5,0.1,"116.62",381
-0.9,0.5,0.15,"165.81",372
-0.9,0.5,0.2,"224.95",364
-0.9,0.5,0.25,"276.76",350
-0.9,0.5,0.3,"327.38",341
-0.9,0.6,0.1,"75.30",322
-0.9,0.6,0.15,"106.83",319
-0.9,0.6,0.2,"127.39",306
-0.9,0.6,0.25,"154.12",303
-0.9,0.6,0.3,"183.12",299
-0.9,0.7,0.1,"68.22",268
-0.9,0.7,0.15,"90.39",264
-0.9,0.7,0.2,"99.63",252
-0.9,0.7,0.25,"122.24",251
-0.9,0.7,0.3,"140.15",247
-0.9,0.8,0.1,"69.85",240
-0.9,0.8,0.15,"82.04",228
-0.9,0.8,0.2,"112.89",229
-0.9,0.8,0.25,"98.17",223
-0.9,0.8,0.3,"111.83",220
-0.9,0.9,0.1,"76.63",226
-0.9,0.9,0.15,"99.93",222
-0.9,0.9,0.2,"143.15",221
-0.9,0.9,0.25,"102.52",205
-0.9,0.9,0.3,"97.22",196
-0.9,1,0.1,"89.03",216
-0.9,1,0.15,"138.53",215
-0.9,1,0.2,"161.27",214
-0.9,1,0.25,"176.47",205
-0.9,1,0.3,"198.81",205
-0.8,0.1,0.1,"54.79",951
-0.8,0.1,0.15,"82.45",944
-0.8,0.1,0.2,"83.53",888
-0.8,0.1,0.25,"108.85",886
-0.8,0.1,0.3,"137.28",885
-0.8,0.2,0.1,"66.31",750
-0.8,0.2,0.15,"87.94",749
-0.8,0.2,0.2,"116.17",730
-0.8,0.2,0.25,"159.65",729
-0.8,0.2,0.3,"204.91",726
-0.8,0.3,0.1,"92.35",632
-0.8,0.3,0.15,"131.38",621
-0.8,0.3,0.2,"186.31",619
-0.8,0.3,0.25,"223.54",616
-0.8,0.3,0.3,"294.92",612
-0.8,0.4,0.1,"67.19",480
-0.8,0.4,0.15,"86.18",471
-0.8,0.4,0.2,"115.22",469
-0.8,0.4,0.25,"140.10",463
-0.8,0.4,0.3,"200.18",466
-0.8,0.5,0.1,"66.95",394
-0.8,0.5,0.15,"76.75",378
-0.8,0.5,0.2,"89.09",369
-0.8,0.5,0.25,"105.88",365
-0.8,0.5,0.3,"111.77",356
-0.8,0.6,0.1,"59.89",334
-0.8,0.6,0.15,"80.77",333
-0.8,0.6,0.2,"87.94",320
-0.8,0.6,0.25,"102.14",315
-0.8,0.6,0.3,"128.39",318
-0.8,0.7,0.1,"63.45",306
