"se","sc","scal","profit","deals"
0.1,0.8,1.95,"687.69",107
0.1,0.8,2,"669.94",107
0.15,0.1,1.1,"195.52",107
0.15,0.1,1.15,"195.34",107
0.15,0.1,1.2,"193.83",107
0.15,0.1,1.25,"192.62",107
0.15,0.1,1.3,"190.57",107
0.15,0.1,1.35,"189.20",107
0.15,0.1,1.4,"187.19",107
0.15,0.1,1.45,"185.69",107
0.15,0.1,1.5,"185.66",107
0.15,0.1,1.55,"182.70",107
0.15,0.1,1.6,"182.89",107
0.15,0.1,1.65,"182.22",107
0.15,0.1,1.7,"182.22",107
0.15,0.1,1.75,"182.22",107
0.15,0.1,1.8,"180.83",107
0.15,0.1,1.85,"181.68",107
0.15,0.1,1.9,"181.68",107
0.15,0.1,1.95,"181.68",107
0.15,0.1,2,"180.98",107
0.15,0.15,1.1,"254.22",107
0.15,0.15,1.15,"253.88",107
0.15,0.15,1.2,"252.82",107
0.15,0.15,1.25,"250.65",107
0.15,0.15,1.3,"247.36",107
0.15,0.15,1.35,"244.89",107
0.15,0.15,1.4,"241.31",107
0.15,0.15,1.45,"238.65",107
0.15,0.15,1.5,"238.59",107
0.15,0.15,1.55,"235.55",107
0.15,0.15,1.6,"235.89",107
0.15,0.15,1.65,"234.70",107
0.15,0.15,1.7,"234.70",107
0.15,0.15,1.75,"234.70",107
0.15,0.15,1.8,"232.23",107
0.15,0.15,1.85,"233.75",107
0.15,0.15,1.9,"233.75",107
0.15,0.15,1.95,"233.75",107
0.15,0.15,2,"232.50",107
0.15,0.2,1.1,"455.69",107
0.15,0.2,1.15,"454.99",107
0.15,0.2,1.2,"460.66",107
0.15,0.2,1.25,"456.06",107
0.15,0.2,1.3,"449.93",107
0.15,0.2,1.35,"444.73",107
0.15,0.2,1.4,"437.20",107
0.15,0.2,1.45,"431.64",107
0.15,0.2,1.5,"431.51",107
0.15,0.2,1.55,"422.08",107
0.15,0.2,1.6,"422.78",107
0.15,0.2,1.65,"420.32",107
0.15,0.2,1.7,"420.32",107
0.15,0.2,1.75,"420.32",107
0.15,0.2,1.8,"415.21",107
0.15,0.2,1.85,"418.35",107
0.15,0.2,1.9,"418.35",107
0.15,0.2,1.95,"418.35",107
0.15,0.2,2,"415.75",107
0.15,0.25,1.1,"91.88",107
0.15,0.25,1.15,"91.56",107
0.15,0.25,1.2,"111.11",107
0.15,0.25,1.25,"108.95",107
0.15,0.25,1.3,"106.46",107
0.15,0.25,1.35,"104.02",107
0.15,0.25,1.4,"100.51",107
0.15,0.25,1.45,"97.92",107
0.15,0.25,1.5,"97.84",107
0.15,0.25,1.55,"101.47",107
0.15,0.25,1.6,"101.82",107
0.15,0.25,1.65,"100.63",107
0.15,0.25,1.7,"100.63",107
0.15,0.25,1.75,"100.63",107
0.15,0.25,1.8,"98.17",107
0.15,0.25,1.85,"99.68",107
0.15,0.25,1.9,"99.68",107
0.15,0.25,1.95,"99.68",107
0.15,0.25,2,"98.43",107
