"cond_open","cond_close","trail_range","profit","deals"
-1.8,1.6,0.2,"400.75",53
-1.8,1.6,0.3,"338.17",50
-1.8,1.6,0.4,"227.90",48
-1.8,1.6,0.5,"204.75",44
-1.8,1.6,0.6,"204.00",44
-1.8,1.6,0.7,"202.70",44
-1.8,1.6,0.8,"201.87",43
-1.8,1.6,0.9,"180.80",43
-1.8,1.6,1,"162.74",41
-1.8,1.7,0.1,"525.43",61
-1.8,1.7,0.2,"428.40",55
-1.8,1.7,0.3,"406.44",53
-1.8,1.7,0.4,"279.50",51
-1.8,1.7,0.5,"180.54",43
-1.8,1.7,0.6,"212.03",45
-1.8,1.7,0.7,"219.38",44
-1.8,1.7,0.8,"189.26",44
-1.8,1.7,0.9,"184.88",43
-1.8,1.7,1,"167.25",41
-1.8,1.8,0.1,"465.51",56
-1.8,1.8,0.2,"397.07",53
-1.8,1.8,0.3,"375.11",51
-1.8,1.8,0.4,"256.63",49
-1.8,1.8,0.5,"166.13",42
-1.8,1.8,0.6,"212.34",45
-1.8,1.8,0.7,"188.08",44
-1.8,1.8,0.8,"183.65",42
-1.8,1.8,0.9,"172.88",40
-1.8,1.8,1,"161.12",39
-1.8,1.9,0.1,"467.19",54
-1.8,1.9,0.2,"404.64",51
-1.8,1.9,0.3,"278.91",44
-1.8,1.9,0.4,"191.58",43
-1.8,1.9,0.5,"182.28",41
-1.8,1.9,0.6,"164.12",42
-1.8,1.9,0.7,"160.94",41
-1.8,1.9,0.8,"147.92",38
-1.8,1.9,0.9,"143.94",37
-1.8,1.9,1,"143.26",37
-1.8,2,0.1,"473.35",54
-1.8,2,0.2,"410.73",51
-1.8,2,0.3,"285.95",44
-1.8,2,0.4,"209.78",44
-1.8,2,0.5,"170.57",42
-1.8,2,0.6,"154.82",40
-1.8,2,0.7,"152.80",39
-1.8,2,0.8,"145.16",37
-1.8,2,0.9,"139.79",36
-1.8,2,1,"147.53",36
-1.7,0.1,0.1,"639.00",68
-1.7,0.1,0.2,"569.97",64
-1.7,0.1,0.3,"518.97",59
-1.7,0.1,0.4,"366.90",57
-1.7,0.1,0.5,"296.22",52
-1.7,0.1,0.6,"301.33",49
-1.7,0.1,0.7,"300.48",49
-1.7,0.1,0.8,"297.00",48
-1.7,0.1,0.9,"192.70",47
-1.7,0.1,1,"173.76",42
-1.7,0.2,0.1,"637.20",67
-1.7,0.2,0.2,"572.99",63
-1.7,0.2,0.3,"521.69",59
-1.7,0.2,0.4,"372.01",57
-1.7,0.2,0.5,"300.55",52
-1.7,0.2,0.6,"301.69",49
-1.7,0.2,0.7,"301.33",49
-1.7,0.2,0.8,"300.00",48
-1.7,0.2,0.9,"195.53",45
-1.7,0.2,1,"176.91",42
-1.7,0.3,0.1,"652.99",67
-1.7,0.3,0.2,"584.58",63
-1.7,0.3,0.3,"525.81",59
-1.7,0.3,0.4,"373.62",57
-1.7,0.3,0.5,"303.60",52
-1.7,0.3,0.6,"303.80",49
-1.7,0.3,0.7,"305.30",49
-1.7,0.3,0.8,"304.02",46
-1.7,0.3,0.9,"201.67",45
-1.7,0.3,1,"179.98",42
-1.7,0.4,0.1,"658.07",67
-1.7,0.4,0.2,"586.09",63
-1.7,0.4,0.3,"533.98",59
-1.7,0.4,0.4,"376.61",57
-1.7,0.4,0.5,"304.84",52
-1.7,0.4,0.6,"306.86",49
-1.7,0.4,0.7,"308.94",47
-1.7,0.4,0.8,"309.39",46
-1.7,0.4,0.9,"201.91",45
-1.7,0.4,1,"180.20",42
-1.7,0.5,0.1,"662.16",67
-1.7,0.5,0.2,"591.93",63
-1.7,0.5,0.3,"537.38",59
-1.7,0.5,0.4,"378.33",57
-1.7,0.5,0.5,"307.74",52
-1.7,0.5,0.6,"206.16",47
-1.7,0.5,0.7,"211.43",47
-1.7,0.5,0.8,"211.38",46
-1.7,0.5,0.9,"202.15",45
-1.7,0.5,1,"180.43",42
-1.7,0.6,0.1,"645.66",65
-1.7,0.6,0.2,"577.31",63
-1.7,0.6,0.3,"522.71",59
-1.7,0.6,0.4,"366.73",57
-1.7,0.6,0.5,"295.28",50
-1.7,0.6,0.6,"201.00",47
-1.7,0.6,0.7,"205.14",47
-1.7,0.6,0.8,"201.88",46
-1.7,0.6,0.9,"193.18",45
-1.7,0.6,1,"172.11",42
-1.7,0.7,0.1,"638.92",64
-1.7,0.7,0.2,"568.60",62
-1.7,0.7,0.3,"519.47",57
-1.7,0.7,0.4,"250.96",55
-1.7,0.7,0.5,"201.54",50
-1.7,0.7,0.6,"204.22",47
-1.7,0.7,0.7,"205.14",47
-1.7,0.7,0.8,"201.88",46
-1.7,0.7,0.9,"193.46",45
-1.7,0.7,1,"174.99",42
-1.7,0.8,0.1,"650.72",64
-1.7,0.8,0.2,"568.05",60
-1.7,0.8,0.3,"535.85",57
-1.7,0.8,0.4,"258.36",55
-1.7,0.8,0.5,"205.86",50
-1.7,0.8,0.6,"207.11",47
-1.7,0.8,0.7,"207.54",47
-1.7,0.8,0.8,"204.45",46
-1.7,0.8,0.9,"197.91",45
-1.7,0.8,1,"176.00",42
-1.7,0.9,0.1,"468.45",64
-1.7,0.9,0.2,"404.83",60
-1.7,0.9,0.3,"383.14",57
-1.7,0.9,0.4,"261.05",55
-1.7,0.9,0.5,"207.10",50
